#,Open Time,Type,Lots,Symbol,Price,Stop/Loss,Take Profit,Close Time,Close Price,Profit,Comment,MagicNumber
81612467,2018.02.09 00:00,1,0.02,USDJPY,108.72,109.373,95.702,2018.02.13 17:01,107.677,19.37,IchimokuV1.0- short on USDJPY,20170909
81612470,2018.02.09 00:00,1,0.02,AUDUSD,0.77773,0.78251,0.68213,2018.02.09 15:45,0.78252,-9.58,bbMacd - short 0.02 on AUDU[sl],20180112
81616280,2018.02.09 04:00,0,0.02,EURAUD,1.57714,1.56986,1.72274,2018.02.09 15:20,1.56986,-11.38,HA_SMA-long on strategy_2[sl],20180207
81620537,2018.02.09 08:00,1,0.02,NZDUSD,0.7207,0.7255,0.6247,2018.02.09 15:56,0.72551,-9.62,IchimokuV1.0- short on NZDU[sl],20170909
81635837,2018.02.09 16:00,0,0.02,USDCAD,1.25726,1.25794,1.37487,2018.02.09 23:33,1.25794,1.08,HA_SMA-long on strategy_2[sl],20180207
81635842,2018.02.09 16:00,1,0.02,GBPUSD,1.38353,1.39415,1.17113,2018.02.13 12:00,1.38858,-10.1,IchimokuV1.0- short on GBPUSD,20170909
81635851,2018.02.09 16:00,0,0.03,EURAUD,1.56861,1.56138,1.71321,2018.02.09 20:00,1.56902,0.95,HA_SMA-long on strategy_2,20180207
81635863,2018.02.09 16:00,0,0.02,NZDCAD,0.91202,0.91552,1.01863,2018.02.13 16:24,0.91552,5.56,HA_SMA-long on strategy_2[sl],20180207
81645022,2018.02.09 20:00,1,0.02,EURUSD,1.22134,1.22777,1.09274,2018.02.12 03:15,1.22779,-12.9,IchimokuV1.0- short on EURU[sl],20170909
81645024,2018.02.09 20:00,1,0.02,EURUSD,1.22134,1.22777,1.09274,2018.02.12 03:15,1.22779,-12.9,HA_SMA-short on strategy_2[sl],20180207
81645038,2018.02.09 20:00,1,0.02,GBPUSD,1.37854,1.38921,1.16514,2018.02.13 11:30,1.3904,-23.72,HA_SMA-short on strategy_2[sl],20180207
81645042,2018.02.09 20:00,1,0.02,USDJPY,108.401,107.943,94.443,2018.02.13 17:01,107.698,13.06,HA_SMA-short on strategy_2,20180207
81645044,2018.02.09 20:00,1,0.02,EURCHF,1.14756,1.15351,1.02856,2018.02.12 10:26,1.15352,-12.68,HA_SMA-short on strategy_2[sl],20180207
81645046,2018.02.09 20:00,1,0.02,EURUSD,1.22133,1.22776,1.09273,2018.02.12 03:15,1.22775,-12.84,HA_SMA-short on strategy_2[sl],20180207
81645047,2018.02.09 20:00,1,0.02,EURUSD,1.22133,1.22775,1.09272,2018.02.12 03:15,1.22775,-12.84,HA_SMA-short on strategy_2[sl],20180207
81645048,2018.02.09 20:00,1,0.02,EURUSD,1.22133,1.22775,1.09272,2018.02.12 03:15,1.22775,-12.84,HA_SMA-short on strategy_2[sl],20180207
81645050,2018.02.09 20:00,1,0.02,GBPJPY,149.413,148.988,117.42,2018.02.14 17:09,148.987,7.95,HA_SMA-short on strategy_2[sl],20180207
81645052,2018.02.09 20:00,1,0.02,GBPCHF,1.29493,1.30535,1.08653,2018.02.15 00:00,1.3021,-15.43,HA_SMA-short on strategy_2,20180207
81645054,2018.02.09 20:00,1,0.02,CHFJPY,115.359,114.861,100.821,2018.02.14 17:09,114.867,9.18,HA_SMA-short on strategy_2[sl],20180207
81645055,2018.02.09 20:00,1,0.02,CADCHF,0.74398,0.74323,0.65258,2018.02.14 00:02,0.74334,1.37,HA_SMA-short on strategy_2[sl],20180207
81645057,2018.02.09 20:00,1,0.02,CADJPY,85.828,86.546,71.489,2018.02.09 22:51,86.546,-13.19,HA_SMA-short on strategy_2[sl],20180207
81652970,2018.02.12 04:00,0,0.02,EURGBP,0.88736,0.88892,0.97296,2018.02.14 15:22,0.88891,4.3,HA_SMA-long on strategy_2[sl],20180207
81673479,2018.02.12 20:00,0,0.02,USDCAD,1.2613,1.25538,1.37991,2018.02.14 08:00,1.25699,-6.86,IchimokuV1.0- long on USDCAD,20170909
81675212,2018.02.13 00:00,0,0.02,EURCAD,1.5466,1.55451,1.6812,2018.02.14 00:03,1.55444,12.45,HA_SMA-long on strategy_2[sl],20180207
81703606,2018.02.13 20:00,0,0.02,USDCAD,1.26031,1.2606,1.36891,2018.02.14 17:09,1.26059,0.44,HA_SMA-long on strategy_2[sl],20180207
81703611,2018.02.13 20:00,0,0.02,EURAUD,1.57329,1.5757,1.70228,2018.02.14 17:20,1.57569,3.77,HA_SMA-long on strategy_2[sl],20180207
81703617,2018.02.13 20:00,0,0.02,NZDCAD,0.91754,0.9176,1.00815,2018.02.14 15:32,0.91756,0.03,HA_SMA-long on strategy_2[sl],20180207
81705634,2018.02.14 00:00,0,0.02,EURNZD,1.69952,1.69125,1.86492,2018.02.14 04:34,1.69123,-12.12,HA_SMA-long on strategy_2[sl],20180207
81708206,2018.02.14 04:00,0,0.02,EURCAD,1.55514,1.55523,1.66834,2018.02.14 17:30,1.55513,-0.02,HA_SMA-long on strategy_2[sl],20180207
81714703,2018.02.14 08:00,1,0.02,USDCHF,0.93271,0.93664,0.8539,2018.02.14 15:33,0.93664,-8.39,IchimokuV1.0- short on USDC[sl],20170909
81716665,2018.02.14 09:40,1,0.02,CADJPY,85.372,85.951,73.792,2018.02.15 11:21,85.226,2.75,bbMacd - short 0.02 on CADJPY,20180112
81730021,2018.02.14 16:00,1,0.02,USDJPY,107.233,106.725,95.594,2018.02.15 11:21,106.333,16.93,HA_SMA-short on strategy_2,20180207
81730024,2018.02.14 16:00,0,0.03,USDCAD,1.26332,1.25831,1.36226,2018.02.14 17:11,1.25825,-12.09,IchimokuV1.0- long on USDCA[sl],20170909
81730026,2018.02.14 16:00,1,0.02,GBPUSD,1.38301,1.39064,1.23398,2018.02.14 17:10,1.39091,-15.8,IchimokuV1.0- short on GBPU[sl],20170909
81730030,2018.02.14 16:00,1,0.02,AUDUSD,0.77862,0.78303,0.69105,2018.02.14 17:09,0.78317,-9.1,IchimokuV1.0- short on AUDU[sl],20170909
81730043,2018.02.14 16:00,1,0.03,EURNZD,1.69551,1.69292,1.51871,2018.02.15 11:21,1.68884,14.81,HA_SMA-short on strategy_2,20180207
81730056,2018.02.14 16:00,1,0.02,EURJPY,131.926,132.805,114.346,2018.02.14 18:43,132.808,-16.48,HA_SMA-short on strategy_2[sl],20180207
81730061,2018.02.14 16:00,1,0.02,AUDNZD,1.0731,1.07775,0.9801,2018.02.15 11:21,1.07531,-3.27,HA_SMA-short on strategy_2,20180207
81730068,2018.02.14 16:00,1,0.02,AUDJPY,83.491,84.149,70.331,2018.02.14 17:20,84.152,-12.33,HA_SMA-short on strategy_2[sl],20180207
81730071,2018.02.14 16:00,1,0.02,CADJPY,84.871,85.471,72.913,2018.02.14 21:02,85.47,-11.19,HA_SMA-short on strategy_2[sl],20180207
